;index;moy_1h;std_1h;moy_trades_1h;std_trades_1h;moy_5h;std_5h;moy_trades_5h;std_trades_5h;moy_1d;std_1d;moy_trades_1d;std_trades_1d;open;close
0;0;50596.4425;36.50850985272692;8032.75;823.0639404080341;50608.354999999996;6.781154031581666;7671.5;605.9905114768712;50608.354999999996;6.781154031581666;7671.5;605.9905114768712;50613.15;50514.91
1;0;50589.3225;50.4275621560252;7786.0;431.07539943726783;50564.03;69.46617018376499;7703.0;650.5382386916237;50564.03;69.46617018376499;7703.0;650.5382386916237;50514.91;50516.02
2;0;50561.9075;53.77753581499571;7647.5;563.219613768318;50515.46000000001;0.7778174593041732;7623.5;762.9682169002848;50515.46000000001;0.7778174593041732;7623.5;762.9682169002848;50516.01;50505.77
3;0;50537.46;50.66832409569835;8292.5;1661.2092984730532;50510.89;7.2407734393539505;8882.0;2542.755985146825;50510.89;7.2407734393539505;8882.0;2542.755985146825;50505.77;50480.93
4;0;50504.4025;16.31399680233913;9036.0;1699.9931372410497;50493.345;17.57160351248468;10448.5;327.3904396893715;50493.345;17.57160351248468;10448.5;327.3904396893715;50480.92;50558.88
5;0;50515.395000000004;32.51917229368934;9661.5;1731.7083087710432;50519.899999999994;55.12604466130263;10441.0;316.7838379715733;50519.899999999994;55.12604466130263;10441.0;316.7838379715733;50558.88;50341.16
6;0;50471.6825;92.89208088780295;9819.5;1418.690593469908;50450.020000000004;153.9512883999308;9190.5;2085.257897719129;50450.020000000004;153.9512883999308;9190.5;2085.257897719129;50341.16;50319.0
7;0;50424.99;114.47859479687096;9108.5;1550.244819375314;50330.08;15.669486271096362;7776.0;84.8528137423857;50330.08;15.669486271096362;7776.0;84.8528137423857;50319.0;50411.62
8;0;50407.6675;108.26833128081779;8321.75;1597.97629832235;50365.315;65.49930114130804;7453.0;541.6437943888955;50365.315;65.49930114130804;7453.0;541.6437943888955;50411.63;50456.98
9;0;50382.19;63.600835948383924;8049.5;1071.8250790124291;50434.3;32.06022145900074;8323.0;1772.009593653488;50434.3;32.06022145900074;8323.0;1772.009593653488;50456.97;50324.04
10;0;50377.91;67.7246557761645;8951.5;1897.6423091123715;50390.505000000005;93.99570442312796;10450.0;1236.022653514085;50390.505000000005;93.99570442312796;10450.0;1236.022653514085;50324.04;50216.94
11;0;50353.38250000001;104.14474906750387;10002.5;2212.0297617045453;50272.465;72.9380644793934;11682.0;506.288455329568;50272.465;72.9380644793934;11682.0;506.288455329568;50220.89;50117.09
12;0;50279.747500000005;145.24841671541174;10770.0;1116.8933103330266;50168.99;73.3976838871657;11090.0;1343.5028842544402;50168.99;73.3976838871657;11090.0;1343.5028842544402;50117.09;50261.75
13;0;50230.939999999995;86.94648737394138;10464.25;1610.8665111258185;50189.41499999999;102.28299589863512;9246.5;1263.5998179803605;50189.41499999999;102.28299589863512;9246.5;1263.5998179803605;50261.74;50183.32
14;0;50195.76;61.45079278034922;18318.75;16351.615279537371;50222.53;55.45131378064782;25547.5;24316.695098224183;50222.53;55.45131378064782;25547.5;24316.695098224183;50183.32;49532.45
15;0;50023.649999999994;332.7610907743478;22565.5;16383.226595108385;49857.884999999995;460.23459067089004;35884.5;9697.9695039735;49857.884999999995;460.23459067089004;35884.5;9697.9695039735;49532.45;49223.47
16;0;49800.245;504.68064268406346;28571.0;14617.93398534827;49377.96;218.4818532510166;31594.5;3630.9933213929216;49377.96;218.4818532510166;31594.5;3630.9933213929216;49223.47;49160.26
17;0;49524.875;468.11546684551996;30693.75;10828.707475194504;49191.865000000005;44.696219638801054;25503.0;12245.67523658863;49191.865000000005;44.696219638801054;25503.0;12245.67523658863;49160.26;49080.01
18;0;49249.0475;197.84512636150296;23619.25;9495.306959229913;49120.135;56.74531919022044;15644.0;1697.0562748477141;49120.135;56.74531919022044;15644.0;1697.0562748477141;49080.01;49037.18
19;0;49124.32250000001;84.31088319428216;19918.75;9569.32485863031;49056.78;32.85218105392638;14334.5;154.8563850798539;49056.78;32.85218105392638;14334.5;154.8563850798539;49033.55;49186.51
20;0;49115.08;70.75567020858838;15270.5;1202.9376542448074;49110.025;108.15198218248038;14897.0;950.3515139147198;49110.025;108.15198218248038;14897.0;950.3515139147198;49186.5;49017.33
21;0;49078.3875;77.27231516957849;16326.25;3214.874530988729;49099.994999999995;122.33654421308603;18318.0;3887.673082963638;49099.994999999995;122.33654421308603;18318.0;3887.673082963638;49013.49;48832.91
22;0;49017.3825;143.50436401610563;15920.0;3610.3571383821113;48924.74;125.51145366061219;16943.0;5832.216731226644;48924.74;125.51145366061219;16943.0;5832.216731226644;48835.99;49082.75
23;0;49029.682499999995;147.40745059754255;15896.25;3625.504780946602;48959.369999999995;174.4856693255939;13474.5;927.0169901355638;48959.369999999995;174.4856693255939;13474.5;927.0169901355638;49082.75;49239.99
24;0;49043.057499999995;167.44454751250336;16014.75;3618.983685603828;49161.375;111.1925413415846;15086.5;1352.6952724098653;49161.375;111.1925413415846;15086.5;1352.6952724098653;49240.0;49255.57
25;0;49102.875;193.99432783804247;13613.75;1951.5056366815854;49246.380000000005;9.022682527941786;13753.0;3238.5490578343874;49246.380000000005;9.022682527941786;13753.0;3238.5490578343874;49252.76;49110.56
26;0;49171.515;87.34395934083436;13339.0;2166.2435997212624;49181.655;100.5576553525383;11591.5;181.7264427649427;49181.655;100.5576553525383;11591.5;181.7264427649427;49110.55;49149.37
27;0;49188.17;69.25441357776319;12829.25;2157.9524824858095;49129.96000000001;27.44988524566157;11905.5;262.33661582020915;49129.96000000001;27.44988524566157;11905.5;262.33661582020915;49149.37;49047.53
