;index;moy_1h;std_1h;moy_trades_1h;std_trades_1h;moy_5h;std_5h;moy_trades_5h;std_trades_5h;moy_1d;std_1d;moy_trades_1d;std_trades_1d;open;close
0;0;50596.4425;36.50850985272692;8032.75;823.0639404080341;49865.87821576765;1149.9469024436387;14134.058091286308;7933.633226961319;49865.87821576765;1149.9469024436387;14134.058091286308;7933.633226961319;50613.15;50514.91
1;0;50589.3225;50.4275621560252;7786.0;431.07539943726783;49868.560165289266;1148.3168133334132;14109.38429752066;7926.455228319743;49868.560165289266;1148.3168133334132;14109.38429752066;7926.455228319743;50514.91;50516.02
2;0;50561.9075;53.77753581499571;7647.5;563.219613768318;49871.224567901234;1146.6942401108622;14080.473251028807;7922.889687631697;49871.224567901234;1146.6942401108622;14080.473251028807;7922.889687631697;50516.01;50505.77
3;0;50537.46;50.66832409569835;8292.5;1661.2092984730532;49873.82516393442;1145.0531576829637;14066.536885245901;7909.5669608975395;49873.82516393442;1145.0531576829637;14066.536885245901;7909.5669608975395;50505.77;50480.93
4;0;50504.4025;16.31399680233913;9036.0;1699.9931372410497;49876.30310204082;1143.3623770091483;14050.824489795918;7897.172683384925;49876.30310204082;1143.3623770091483;14050.824489795918;7897.172683384925;50480.92;50558.88
5;0;50515.395000000004;32.51917229368934;9661.5;1731.7083087710432;49879.07780487805;1141.856228507819;14037.060975609756;7883.995487134983;49879.07780487805;1141.856228507819;14037.060975609756;7883.995487134983;50558.88;50341.16
6;0;50471.6825;92.89208088780295;9819.5;1418.690593469908;49880.94858299595;1139.9122575604674;14011.46963562753;7878.228034624135;49880.94858299595;1139.9122575604674;14011.46963562753;7878.228034624135;50341.16;50319.0
7;0;50424.99;114.47859479687096;9108.5;1550.244819375314;49882.71491935484;1137.942429351776;13986.568548387097;7872.037321457756;49882.71491935484;1137.942429351776;13986.568548387097;7872.037321457756;50319.0;50411.62
8;0;50407.6675;108.26833128081779;8321.75;1597.97629832235;49884.83907630522;1136.1404173285314;13958.791164658634;7868.368374932079;49884.83907630522;1136.1404173285314;13958.791164658634;7868.368374932079;50411.63;50456.98
9;0;50382.19;63.600835948383924;8049.5;1071.8250790124291;49887.1276;1134.4339499885334;13941.26;7857.443405835234;49887.1276;1134.4339499885334;13941.26;7857.443405835234;50456.97;50324.04
10;0;50377.91;67.7246557761645;8951.5;1897.6423091123715;49888.868286852594;1132.4986326744297;13930.83266932271;7843.452699155419;49888.868286852594;1132.4986326744297;13930.83266932271;7843.452699155419;50324.04;50216.94
11;0;50353.38250000001;104.14474906750387;10002.5;2212.0297617045453;49890.18583333334;1130.4339138274183;13923.329365079366;7828.718869018753;49890.18583333334;1130.4339138274183;13923.329365079366;7828.718869018753;50220.89;50117.09
12;0;50279.747500000005;145.24841671541174;10770.0;1116.8933103330266;49891.08268774703;1128.2789450512323;13908.375494071146;7816.789933876275;49891.08268774703;1128.2789450512323;13908.375494071146;7816.789933876275;50117.09;50261.75
13;0;50230.939999999995;86.94648737394138;10464.25;1610.8665111258185;49892.54196850394;1126.2870848495406;13886.503937007874;7809.109993545281;49892.54196850394;1126.2870848495406;13886.503937007874;7809.109993545281;50261.74;50183.32
14;0;50195.76;61.45079278034922;18318.75;16351.615279537371;49893.6822745098;1124.2152774179176;13999.66274509804;8000.460301471262;49893.6822745098;1124.2152774179176;13999.66274509804;8000.460301471262;50183.32;49532.45
15;0;50023.649999999994;332.7610907743478;22565.5;16383.226595108385;49892.2712109375;1122.2358923138002;14058.36328125;8039.8052535225015;49892.2712109375;1122.2358923138002;14058.36328125;8039.8052535225015;49532.45;49223.47
16;0;49800.245;504.68064268406346;28571.0;14617.93398534827;49889.668871595335;1120.8185678845336;14136.587548638132;8121.487964104506;49889.668871595335;1120.8185678845336;14136.587548638132;8121.487964104506;49223.47;49160.26
17;0;49524.875;468.11546684551996;30693.75;10828.707475194504;49886.841705426355;1119.5572120892477;14147.081395348838;8107.424363056835;49886.841705426355;1119.5572120892477;14147.081395348838;8107.424363056835;49160.26;49080.01
18;0;49249.0475;197.84512636150296;23619.25;9495.306959229913;49883.72652509653;1118.5095464481426;14148.2277992278;8091.71807907086;49883.72652509653;1118.5095464481426;14148.2277992278;8091.71807907086;49080.01;49037.18
19;0;49124.32250000001;84.31088319428216;19918.75;9569.32485863031;49880.45661538461;1117.5926111784654;14148.523076923077;8076.083297731508;49880.45661538461;1117.5926111784654;14148.523076923077;8076.083297731508;49033.55;49186.51
20;0;49115.08;70.75567020858838;15270.5;1202.9376542448074;49877.79777777777;1116.268097462583;14153.965517241379;8061.016941640909;49877.79777777777;1116.268097462583;14153.965517241379;8061.016941640909;49186.5;49017.33
21;0;49078.3875;77.27231516957849;16326.25;3214.874530988729;49874.49889312978;1115.4064559756246;14180.351145038168;8056.887326596178;49874.49889312978;1115.4064559756246;14180.351145038168;8056.887326596178;49013.49;48832.91
22;0;49017.3825;143.50436401610563;15920.0;3610.3571383821113;49870.55019011407;1115.1160170502549;14175.174904942965;8041.935020732787;49870.55019011407;1115.1160170502549;14175.174904942965;8041.935020732787;48835.99;49082.75
23;0;49029.682499999995;147.40745059754255;15896.25;3625.504780946602;49867.566098484844;1114.0496059019074;14175.003787878788;8026.632091595197;49867.566098484844;1114.0496059019074;14175.003787878788;8026.632091595197;49082.75;49239.99
24;0;49043.057499999995;167.44454751250336;16014.75;3618.983685603828;49865.1979245283;1112.6057473441917;14182.052830188679;8012.237472950734;49865.1979245283;1112.6057473441917;14182.052830188679;8012.237472950734;49240.0;49255.57
